country_a,country_b,probability,news_negativity,news_intensity,escalation_keywords,contiguity,distance_closeness,common_language,both_in_nato,mil_exp_mean,ucdp_recent_interstate,bias,w_news_negativity,w_news_intensity,w_escalation_keywords,w_contiguity,w_distance_closeness,w_common_language,w_both_in_nato,w_mil_exp_mean,w_ucdp_recent_interstate
Afghanistan,Indonesia,0.0969612585341731,0.0,0.0,0.0,0.0,0.04976750589427322,0.0,0.0,0.3524278787332399,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Iran, Islamic Republic of",0.2838653387826327,0.14284285714285716,0.23735738763799544,0.0,1.0,0.4446743777758663,1.0,0.0,0.4725639231430976,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Iraq,0.7578017693539554,1.0,0.25089243839215825,1.0,0.0,0.31896417071921446,0.0,0.0,0.5021778558935048,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Israel,0.12491526717945375,0.0,0.03976551065660638,0.0,0.0,0.20197799967749022,0.0,0.0,0.8292307002550199,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Italy,0.10094141119033938,0.0,0.0,0.0,0.0,0.08475445226509747,0.0,0.0,0.43609148313419743,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Japan,0.09927062947796447,0.0,0.0,0.0,0.0,0.04332575574105006,0.0,0.0,0.4132883415412254,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Jordan,0.11703909353817057,0.0,0.03578895959094573,0.0,0.0,0.2126485449011009,0.0,0.0,0.668685371422971,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Kazakhstan,0.10450925043025777,0.0,0.0,0.0,0.0,0.5542804460579089,0.0,0.0,0.3134391279938008,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Korea, Democratic People's Republic of",0.10172806814087605,0.0,0.0,0.0,0.0,0.08253378948310584,0.0,0.0,0.45627478835932733,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Korea, Republic of",0.10422576171204288,0.0,0.0,0.0,0.0,0.0768466039964973,0.0,0.0,0.5188924361203471,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Kuwait,0.11635846776897114,0.0,0.0,0.0,0.0,0.35353368790878403,0.0,0.0,0.6709276756999705,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Kyrgyzstan,0.11570854304365799,0.0,0.0,0.0,0.0,0.5934172510565743,0.0,0.0,0.5502317964745256,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Latvia,0.1073472751129095,0.0,0.0,0.0,0.0,0.12329973722477969,0.0,0.0,0.5715812755917968,0.0,-2.4,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
