country_a,country_b,probability,news_negativity,news_intensity,escalation_keywords,contiguity,distance_closeness,common_language,both_in_nato,mil_exp_mean,ucdp_recent_interstate,bias,w_news_negativity,w_news_intensity,w_escalation_keywords,w_contiguity,w_distance_closeness,w_common_language,w_both_in_nato,w_mil_exp_mean,w_ucdp_recent_interstate
Afghanistan,Bhutan,0.08908884793125811,0.0,0.0,0.0,0.0,0.3493257189170481,0.0,0.0,0.45627478835932733,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Bolivia, Plurinational State of",0.08211437842444018,0.0,0.0,0.0,0.0,0.0004643021650073455,0.0,0.0,0.41321663584382395,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bosnia and Herzegovina,0.08157580751420533,0.0,0.0,0.0,0.0,0.10922918385032694,0.0,0.0,0.3489500833106808,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Botswana,0.08680482753681265,0.0,0.0,0.0,0.0,0.018099273131452827,0.0,0.0,0.5402061200696238,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Brazil,0.08076839663083982,0.0,0.0,0.0,0.0,0.001022116297135475,0.0,0.0,0.3729849502688566,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Brunei Darussalam,0.08936217377949626,0.0,0.0,0.0,0.0,0.05666658906738562,0.0,0.0,0.5938197795963924,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Bulgaria,0.08663607932979792,0.0,0.0,0.0,0.0,0.13245629990414534,0.0,0.0,0.4846459762748897,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Burkina Faso,0.09133804281272084,0.0,0.0,0.0,0.0,0.023546042955622282,0.0,0.0,0.6619667349187929,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Burundi,0.08982389787873392,0.0,0.0,0.0,0.0,0.05155899979268051,0.0,0.0,0.6086692526958954,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cabo Verde,0.07964646516866461,0.0,0.0,0.0,0.0,0.009444809005411886,0.0,0.0,0.33544626844392345,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cambodia,0.08427693607974251,0.0,0.0,0.0,0.0,0.10963621831273382,0.0,0.0,0.4277044523418573,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cameroon,0.0813670044279791,0.0,0.0,0.0,0.0,0.032677729112708186,0.0,0.0,0.3767724518724882,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Canada,0.08425736903744062,0.0,0.029824132992454778,0.0,0.0,0.004587385614872715,0.0,0.0,0.40755348218275955,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Central African Republic,0.0863554481183994,0.0,0.0,0.0,0.0,0.04531317273100953,0.0,0.0,0.5154836857496558,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Chad,0.08772309742561067,0.0,0.0,0.0,0.0,0.05004676052954778,0.0,0.0,0.5516273687895178,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Chile,0.08278949061891686,0.0,0.0,0.0,0.0,0.0002810578606614003,0.0,0.0,0.43312868408932637,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,China,0.2012675206274704,0.0275,0.04135613108287063,0.0,1.0,0.12366005130057361,0.0,0.0,0.4456016884254581,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Colombia,0.08791112126970445,0.0,0.0,0.0,0.0,0.0007893150609742501,0.0,0.0,0.5787355898695725,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Comoros,0.084415996438548,0.0,0.0,0.0,0.0,0.05435571604086045,0.0,0.0,0.45627478835932733,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Congo,0.08191828380868153,0.0,0.0,0.0,0.0,0.028716267642060284,0.0,0.0,0.39487234627662693,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,"Congo, The Democratic Republic of the",0.08163166610248501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3991526807646596,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Costa Rica,0.08359137155818176,0.0,0.0,0.0,0.0,0.00077141428043566,0.0,0.0,0.45627478835932733,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Croatia,0.08501143826575622,0.0,0.0,0.0,0.0,0.09984862398864458,0.0,0.0,0.45312116913573786,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cuba,0.08665757308697584,0.0,0.0,0.0,0.0,0.001539650248059548,0.0,0.0,0.5434346971880718,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Cyprus,0.08604376501176637,0.0,0.0,0.0,0.0,0.1961283474761306,0.0,0.0,0.43966156763968334,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Czechia,0.08532655903019389,0.0,0.0,0.0,0.0,0.09498730764919963,0.0,0.0,0.4642693295713254,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Côte d'Ivoire,0.0802599921088923,0.0,0.0,0.0,0.0,0.017037951192358944,0.0,0.0,0.3506058806559975,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Denmark,0.08673259616085281,0.0,0.0,0.0,0.0,0.08813848572975756,0.0,0.0,0.5070519075531255,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Djibouti,0.08849153667315346,0.0,0.0,0.0,0.0,0.15976392852666327,0.0,0.0,0.5241183373201307,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Dominica,0.08361038768370832,0.0,0.0,0.0,0.0,0.0020124850042573753,0.0,0.0,0.45627478835932733,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
Afghanistan,Dominican Republic,0.08010625799524132,0.0,0.0,0.0,0.0,0.0017386610038835765,0.0,0.0,0.35277351233642207,0.0,-2.6,2.0,1.0,1.0,0.9,0.2,-0.25,-2,0.45,1.1
